geoid_long,geoid_short,tractce20,tract_short,nbhood_2020,pop,pct_pop,houses,pct_hous,land_sqmi,pct_land,area_sqmi,pct_area
1400000US44007000101,44007000101,000101,1.01,Washington Park,4571,1,1430,1,0.9437,1,1.5551,1
1400000US44007000102,44007000102,000102,1.02,South Elmwood,1741,0.315,617,0.302,0.6631,0.753,0.8547,0.797
1400000US44007000102,44007000102,000102,1.02,Washington Park,3786,0.685,1428,0.698,0.218,0.247,0.218,0.203
1400000US44007000200,44007000200,000200,2,Elmwood,6957,1,2477,1,0.4522,1,0.4522,1
1400000US44007000301,44007000301,000301,3.01,West End,2613,1,934,1,0.1744,1,0.1744,1
1400000US44007000302,44007000302,000302,3.02,Elmwood,4728,1,1816,1,0.2556,1,0.2556,1
1400000US44007000400,44007000400,000400,4,Lower South Providence,2112,0.52,703,0.505,0.1093,0.439,0.1093,0.439
1400000US44007000400,44007000400,000400,4,Upper South Providence,1946,0.48,689,0.495,0.1398,0.561,0.1398,0.561
1400000US44007000500,44007000500,000500,5,Lower South Providence,3287,1,1204,1,0.2258,1,0.2258,1
1400000US44007000600,44007000600,000600,6,Downtown,495,0.22,403,0.427,0.1718,0.226,0.193,0.186
1400000US44007000600,44007000600,000600,6,Lower South Providence,1415,0.63,439,0.465,0.3467,0.457,0.5489,0.528
1400000US44007000600,44007000600,000600,6,Upper South Providence,336,0.15,102,0.108,0.2401,0.317,0.2978,0.286
1400000US44007000700,44007000700,000700,7,Upper South Providence,2714,1,1107,1,0.2425,1,0.2425,1
1400000US44007000800,44007000800,000800,8,College Hill,29,0.006,1,0,0.0099,0.02,0.0099,0.019
1400000US44007000800,44007000800,000800,8,Downtown,4617,0.994,2816,1,0.4891,0.98,0.5129,0.981
1400000US44007000900,44007000900,000900,9,Federal Hill,2250,1,1202,1,0.177,1,0.177,1
1400000US44007001000,44007001000,001000,10,Federal Hill,2584,1,1367,1,0.1646,1,0.1646,1
1400000US44007001100,44007001100,001100,11,Federal Hill,2602,1,1412,1,0.1934,1,0.1934,1
1400000US44007001200,44007001200,001200,12,West End,3425,1,1443,1,0.2143,1,0.2143,1
1400000US44007001300,44007001300,001300,13,West End,4296,1,1804,1,0.2147,1,0.2147,1
1400000US44007001400,44007001400,001400,14,West End,6949,1,2387,1,0.3508,1,0.3508,1
1400000US44007001500,44007001500,001500,15,Reservoir,2936,1,1060,1,0.5426,1,0.6603,1
1400000US44007001601,44007001601,001601,16.01,Olneyville,146,0.046,42,0.038,0.0634,0.245,0.0634,0.245
1400000US44007001601,44007001601,001601,16.01,Silver Lake,3048,0.954,1068,0.962,0.1958,0.756,0.1958,0.756
1400000US44007001602,44007001602,001602,16.02,Silver Lake,5619,1,1777,1,0.2195,1,0.2195,1
1400000US44007001700,44007001700,001700,17,Silver Lake,4371,1,1567,1,0.2472,1,0.2472,1
1400000US44007001800,44007001800,001800,18,Hartford,7493,0.985,2588,0.981,0.5611,0.793,0.5636,0.793
1400000US44007001800,44007001800,001800,18,Silver Lake,113,0.015,51,0.019,0.1466,0.207,0.1472,0.207
1400000US44007001900,44007001900,001900,19,Olneyville,6247,1,2474,1,0.4369,1,0.4516,1
1400000US44007002000,44007002000,002000,20,Hartford,65,0.01,11,0.005,0.0664,0.115,0.0688,0.118
1400000US44007002000,44007002000,002000,20,Manton,4648,0.708,1493,0.68,0.4158,0.719,0.4189,0.717
1400000US44007002000,44007002000,002000,20,Mount Pleasant,735,0.112,247,0.112,0.0417,0.072,0.0417,0.071
1400000US44007002000,44007002000,002000,20,Olneyville,1121,0.171,445,0.203,0.0546,0.094,0.0546,0.094
1400000US44007002101,44007002101,002101,21.01,Mount Pleasant,2790,1,1055,1,0.1759,1,0.1759,1
1400000US44007002102,44007002102,002102,21.02,Mount Pleasant,6445,1,2270,1,0.3204,1,0.3204,1
1400000US44007002200,44007002200,002200,22,Smith Hill,213,0.041,87,0.045,0.0065,0.021,0.0065,0.021
