geoid_long,geoid_short,tractce20,tract_short,ward_2022,pop,pct_pop,houses,pct_hous,land_sqmi,pct_land,area_sqmi,pct_area
1400000US44007000101,44007000101,000101,1.01,10,4571,1,1430,1,0.9437,1,1.5551,1
1400000US44007000102,44007000102,000102,1.02,8,1458,0.264,534,0.261,0.1487,0.169,0.1487,0.139
1400000US44007000102,44007000102,000102,1.02,9,283,0.051,83,0.041,0.4868,0.552,0.6783,0.632
1400000US44007000102,44007000102,000102,1.02,10,3786,0.685,1428,0.698,0.2457,0.279,0.2457,0.229
1400000US44007000200,44007000200,000200,2,8,382,0.055,138,0.056,0.055,0.122,0.055,0.122
1400000US44007000200,44007000200,000200,2,9,6575,0.945,2339,0.944,0.3972,0.878,0.3972,0.878
1400000US44007000301,44007000301,000301,3.01,8,857,0.328,328,0.351,0.0688,0.394,0.0688,0.394
1400000US44007000301,44007000301,000301,3.01,9,1293,0.495,422,0.452,0.086,0.493,0.086,0.493
1400000US44007000301,44007000301,000301,3.01,11,463,0.177,184,0.197,0.0196,0.112,0.0196,0.112
1400000US44007000302,44007000302,000302,3.02,9,4027,0.852,1455,0.801,0.2009,0.786,0.2009,0.786
1400000US44007000302,44007000302,000302,3.02,11,701,0.148,361,0.199,0.0546,0.214,0.0546,0.214
1400000US44007000400,44007000400,000400,4,10,583,0.144,206,0.148,0.0286,0.115,0.0286,0.115
1400000US44007000400,44007000400,000400,4,11,3475,0.856,1186,0.852,0.2205,0.885,0.2205,0.885
1400000US44007000500,44007000500,000500,5,10,3287,1,1204,1,0.2258,1,0.2258,1
1400000US44007000600,44007000600,000600,6,1,495,0.22,403,0.427,0.1594,0.21,0.1795,0.173
1400000US44007000600,44007000600,000600,6,10,44,0.02,14,0.015,0.2361,0.311,0.4384,0.422
1400000US44007000600,44007000600,000600,6,11,1707,0.76,527,0.558,0.3631,0.479,0.4218,0.406
1400000US44007000700,44007000700,000700,7,11,2714,1,1107,1,0.2425,1,0.2425,1
1400000US44007000800,44007000800,000800,8,1,3488,0.751,2215,0.786,0.3591,0.72,0.3737,0.715
1400000US44007000800,44007000800,000800,8,3,48,0.01,2,0.001,0.0113,0.023,0.0122,0.023
1400000US44007000800,44007000800,000800,8,12,1110,0.239,600,0.213,0.1286,0.258,0.1369,0.262
