nbhood_2020,DP1_0001P,DP1_0002P,DP1_0003P,DP1_0004P,DP1_0005P,DP1_0006P,DP1_0007P,DP1_0008P,DP1_0009P,DP1_0010P,DP1_0011P,DP1_0012P,DP1_0013P,DP1_0014P,DP1_0015P,DP1_0016P,DP1_0017P,DP1_0018P,DP1_0019P,DP1_0020P,DP1_0021P,DP1_0022P,DP1_0023P,DP1_0024P,DP1_0025P,DP1_0026P,DP1_0027P,DP1_0028P,DP1_0029P,DP1_0030P,DP1_0031P,DP1_0032P,DP1_0033P,DP1_0034P,DP1_0035P,DP1_0036P,DP1_0037P,DP1_0038P,DP1_0039P,DP1_0040P,DP1_0041P,DP1_0042P,DP1_0043P,DP1_0044P,DP1_0045P,DP1_0046P,DP1_0047P,DP1_0048P,DP1_0049P,DP1_0050P,DP1_0051P,DP1_0052P,DP1_0053P,DP1_0054P,DP1_0055P,DP1_0056P,DP1_0057P,DP1_0058P,DP1_0059P,DP1_0060P,DP1_0061P,DP1_0062P,DP1_0063P,DP1_0064P,DP1_0065P,DP1_0066P,DP1_0067P,DP1_0068P,DP1_0069P,DP1_0070P,DP1_0071P,DP1_0072P,DP1_0076P,DP1_0077P,DP1_0078P,DP1_0079P,DP1_0080P,DP1_0081P,DP1_0082P,DP1_0083P,DP1_0084P,DP1_0085P,DP1_0086P,DP1_0087P,DP1_0088P,DP1_0089P,DP1_0090P,DP1_0091P,DP1_0092P,DP1_0093P,DP1_0094P,DP1_0095P,DP1_0096P,DP1_0097P,DP1_0098P,DP1_0099P,DP1_0100P,DP1_0101P,DP1_0102P,DP1_0103P,DP1_0104P,DP1_0105P,DP1_0106P,DP1_0107P,DP1_0108P,DP1_0109P,DP1_0110P,DP1_0111P,DP1_0112P,DP1_0113P,DP1_0114P,DP1_0115P,DP1_0116P,DP1_0117P,DP1_0118P,DP1_0119P,DP1_0120P,DP1_0121P,DP1_0122P,DP1_0123P,DP1_0124P,DP1_0125P,DP1_0126P,DP1_0127P,DP1_0128P,DP1_0129P,DP1_0130P,DP1_0131P,DP1_0132P,DP1_0133P,DP1_0134P,DP1_0135P,DP1_0136P,DP1_0137P,DP1_0138P,DP1_0139P,DP1_0140P,DP1_0141P,DP1_0142P,DP1_0143P,DP1_0144P,DP1_0145P,DP1_0146P,DP1_0147P,DP1_0148P,DP1_0149P,DP1_0150P,DP1_0151P,DP1_0152P,DP1_0153P,DP1_0154P,DP1_0155P,DP1_0158P,DP1_0159P,DP1_0160P
Blackstone,100.0,5.32,4.3,4.83,5.21,5.39,6.61,7.32,7.07,5.7,5.86,6.75,6.83,6.41,5.74,6.02,3.9,2.65,4.09,84.36,82.03,79.35,26.12,22.4,100.0,5.82,4.39,5.39,5.17,5.51,6.26,7.51,7.23,5.36,6.1,6.76,7.51,6.42,5.36,6.23,3.89,2.06,3.11,83.25,80.66,78.14,24.42,20.65,100.0,4.89,4.22,4.33,5.25,5.28,6.93,7.15,6.96,6.01,5.65,6.74,6.23,6.4,6.09,5.84,3.91,3.16,4.97,85.35,83.29,80.44,27.64,23.98,100.0,91.53,80.56,3.23,0.12,5.17,0.03,2.43,8.47,109.13,87.61,5.69,1.0,7.2,0.12,7.53,100.0,6.04,93.96,100.0,6.04,1.19,0.13,0.07,0.03,0.0,1.31,3.3,93.96,79.36,3.09,0.06,5.14,0.03,1.12,5.17,100.0,98.66,44.01,21.28,0.72,2.19,0.4,23.98,17.12,0.59,0.47,1.72,3.77,1.34,1.25,0.46,0.78,0.09,0.07,0.01,100.0,50.03,19.65,6.0,0.74,15.49,11.23,3.89,0.84,28.4,20.42,10.73,2.62,24.85,34.51,100.0,94.53,5.44,1.54,0.38,0.29,0.64,0.58,2.05,100.0,71.5,28.54
Charles,100.0,5.54,6.16,7.42,7.1,6.57,8.21,8.44,7.22,6.73,5.9,6.59,6.3,5.75,4.59,3.08,1.62,1.28,1.52,79.53,76.68,72.44,15.2,12.06,100.0,5.43,6.95,7.7,7.42,6.51,8.31,8.39,7.01,6.04,5.9,6.01,6.95,6.12,4.6,2.99,1.08,1.3,1.27,78.34,75.68,71.11,14.29,11.22,100.0,5.64,5.43,7.16,6.8,6.62,8.12,8.51,7.42,7.37,5.89,7.14,5.69,5.4,4.55,3.18,2.12,1.27,1.76,80.64,77.61,73.71,16.08,12.85,100.0,83.46,36.98,19.97,1.04,2.53,0.11,22.84,16.54,118.11,47.55,28.28,3.12,3.08,0.36,35.72,100.0,37.75,62.25,100.0,37.75,5.36,1.66,0.51,0.0,0.11,19.91,10.2,62.25,31.61,18.32,0.53,2.53,0.0,2.93,6.34,100.0,99.45,40.09,11.54,0.33,3.72,0.15,31.61,20.62,2.02,1.56,6.23,3.77,0.55,0.0,0.0,0.0,0.55,0.35,0.2,100.0,29.42,13.04,10.22,3.16,24.49,16.41,4.93,2.06,35.87,15.51,6.36,10.88,32.45,23.56,100.0,93.13,6.87,3.71,0.22,0.62,0.12,0.19,2.01,100.0,42.71,57.29
College Hill,100.0,1.06,0.86,0.87,23.16,37.14,5.85,4.05,3.61,1.82,2.1,3.1,2.69,3.66,3.73,2.26,1.69,1.36,1.02,96.96,96.22,59.21,12.47,10.05,100.0,1.15,0.71,0.65,20.34,32.03,5.69,4.81,4.58,2.21,2.45,4.19,3.1,4.68,5.39,2.79,2.26,1.75,1.22,97.27,96.44,64.75,16.75,13.42,100.0,0.96,1.03,1.13,26.47,43.16,6.04,3.13,2.45,1.36,1.68,1.82,2.2,2.47,1.78,1.62,1.01,0.9,0.78,96.62,95.99,52.69,7.44,6.1,100.0,91.93,61.12,6.64,0.41,18.73,0.09,4.94,8.07,108.81,68.2,9.12,1.26,21.76,0.19,8.26,100.0,10.77,89.23,100.0,10.77,4.14,0.23,0.12,0.08,0.01,3.74,2.45,89.23,56.97,6.4,0.29,18.65,0.09,1.2,5.62,100.0,40.21,19.64,4.72,0.25,1.19,0.25,5.32,3.21,0.26,0.22,1.05,7.51,59.79,0.23,0.11,0.13,59.55,34.17,25.39,100.0,25.06,7.11,6.97,0.36,30.99,20.65,3.78,1.03,36.98,22.94,5.67,2.16,12.6,20.96,100.0,87.41,12.59,4.82,2.17,0.4,0.53,1.1,3.58,100.0,33.52,66.48
Downtown,100.0,2.0,1.1,1.08,24.75,10.41,9.84,9.12,6.12,3.21,3.42,4.03,5.22,5.71,4.85,3.66,2.68,1.62,1.17,95.29,85.11,68.23,16.98,13.99,100.0,1.87,1.34,1.07,17.28,8.24,10.82,11.4,7.66,4.23,3.88,4.1,6.33,6.99,5.75,3.88,2.85,1.43,0.94,95.19,87.57,77.1,18.71,14.79,100.0,2.09,0.91,1.08,30.62,12.1,9.07,7.32,4.92,2.41,3.07,3.98,4.36,4.74,4.15,3.49,2.58,1.78,1.33,95.36,83.15,61.28,15.63,13.36,100.0,88.58,52.46,11.78,1.21,13.2,0.08,9.82,11.42,112.34,61.4,15.06,3.42,14.24,0.23,18.0,100.0,22.09,77.91,100.0,22.09,4.26,1.39,0.49,0.04,0.0,9.02,6.89,77.91,48.2,10.41,0.72,13.17,0.08,0.8,4.54,100.0,75.39,50.86,8.27,0.59,2.91,0.43,7.0,4.46,0.57,0.45,1.68,3.09,24.63,0.43,0.2,0.25,24.18,7.1,17.08,100.0,17.67,2.73,6.31,0.42,36.22,32.06,6.04,0.5,39.76,31.87,8.97,1.66,6.24,22.94,100.0,86.3,13.7,8.88,2.3,0.16,0.09,0.84,1.43,100.0,11.19,88.81
Elmhurst,100.0,3.66,3.3,4.54,13.86,21.93,5.78,5.96,5.36,5.08,4.56,4.27,4.36,4.78,3.73,3.07,1.98,1.36,2.44,87.69,85.94,66.61,15.29,12.57,100.0,4.1,3.41,5.0,13.21,22.19,5.96,6.14,5.53,5.0,4.86,4.43,4.45,4.63,3.71,2.96,1.79,1.12,1.49,86.66,84.57,66.44,13.59,11.07,100.0,3.26,3.23,4.12,14.46,21.69,5.59,5.8,5.2,5.15,4.28,4.1,4.28,4.91,3.76,3.14,2.16,1.57,3.31,88.61,87.2,66.74,16.86,13.94,100.0,89.52,64.79,10.04,0.58,2.44,0.02,11.67,10.48,111.59,72.69,14.08,2.25,3.29,0.13,19.15,100.0,21.86,78.14,100.0,21.86,3.39,1.03,0.37,0.03,0.0,11.0,6.02,78.14,61.4,9.01,0.2,2.4,0.02,0.66,4.45,100.0,78.04,31.55,10.52,0.52,1.96,0.28,19.41,12.42,1.12,0.91,4.14,8.54,21.96,1.48,0.6,0.88,20.48,9.46,11.02,100.0,34.55,13.28,7.18,1.85,23.81,13.63,3.99,1.34,34.47,16.34,8.54,5.62,24.88,27.53,100.0,92.88,7.12,3.76,0.34,0.68,0.51,0.41,1.42,100.0,60.09,39.88
Elmwood,100.0,6.15,7.19,7.79,8.87,7.82,7.64,7.83,6.88,6.27,5.61,6.24,5.46,5.17,4.41,2.84,1.57,1.05,1.21,77.25,73.35,68.68,14.08,11.07,100.0,6.61,7.9,7.97,9.46,8.13,7.85,7.35,7.19,5.4,5.42,6.06,5.51,5.37,3.99,2.64,1.56,0.78,0.83,75.97,71.5,66.91,12.91,9.79,100.0,5.73,6.52,7.62,8.31,7.53,7.45,8.28,6.59,7.09,5.8,6.41,5.41,4.98,4.8,3.03,1.57,1.31,1.56,78.46,75.08,70.33,15.17,12.27,100.0,81.25,16.88,16.77,1.35,4.97,0.24,41.04,18.75,120.36,28.94,25.02,2.96,5.42,0.64,57.37,100.0,67.44,32.56,100.0,67.44,6.09,3.93,0.75,0.12,0.22,40.16,16.16,32.56,10.78,12.85,0.6,4.85,0.02,0.87,2.59,100.0,98.01,34.68,10.14,0.15,2.38,0.21,34.69,22.11,2.88,2.34,8.01,4.88,1.99,0.04,0.02,0.03,1.95,1.41,0.54,100.0,29.46,14.61,7.56,3.4,21.97,13.22,3.5,2.41,41.0,15.3,6.42,13.49,39.01,24.28,100.0,93.92,6.08,2.91,0.3,0.16,0.21,0.26,2.24,100.0,24.36,75.64
Federal Hill,100.0,3.38,3.13,2.34,6.13,14.47,18.18,13.31,7.46,5.24,4.05,3.74,4.09,3.91,3.89,2.62,1.59,1.45,1.01,90.53,88.21,83.3,12.53,10.56,100.0,3.53,3.43,2.2,5.94,13.13,17.7,14.57,8.5,5.33,4.55,3.4,4.11,3.84,3.82,2.25,1.62,1.26,0.84,90.17,88.08,82.98,11.72,9.78,100.0,3.21,2.82,2.49,6.34,15.89,18.69,11.99,6.37,5.15,3.52,4.1,4.07,3.99,3.96,3.02,1.55,1.66,1.19,90.92,88.34,83.64,13.4,11.38,100.0,87.22,57.65,10.68,1.13,3.95,0.04,13.77,12.78,114.11,67.93,15.3,2.74,5.26,0.28,22.59,100.0,26.41,73.59,100.0,26.41,3.56,1.53,0.79,0.08,0.0,12.98,7.46,73.59,54.09,9.14,0.34,3.87,0.04,0.79,5.31,100.0,96.4,49.37,7.22,0.66,5.06,0.85,14.98,9.4,0.77,0.58,2.97,14.52,3.6,0.63,0.43,0.2,2.97,1.44,1.53,100.0,15.84,4.63,11.86,1.28,36.09,23.28,4.28,1.39,36.22,21.04,6.41,4.14,13.36,18.12,100.0,92.16,7.84,3.09,0.5,0.23,0.63,0.75,2.64,100.0,15.18,84.82
Fox Point,100.0,2.68,2.24,2.01,1.69,23.94,18.37,11.26,6.06,3.82,2.7,3.13,3.88,3.84,3.8,3.66,2.62,1.63,2.66,92.8,92.17,89.15,16.67,14.37,100.0,2.9,2.37,1.61,1.41,21.99,18.5,12.83,6.67,4.26,2.94,3.42,4.06,4.06,2.94,3.7,2.37,1.45,2.57,92.84,92.32,89.75,15.44,12.99,100.0,2.51,2.12,2.35,1.97,25.8,18.2,9.8,5.48,3.39,2.47,2.85,3.7,3.66,4.63,3.63,2.85,1.85,2.74,92.75,92.02,88.58,17.89,15.7,100.0,91.24,71.26,3.7,0.31,12.85,0.02,3.09,8.76,109.23,78.52,6.26,1.42,15.49,0.26,7.3,100.0,6.89,93.11,100.0,6.89,2.15,0.12,0.04,0.02,0.0,2.07,2.5,93.11,69.11,3.58,0.28,12.83,0.02,1.02,6.26,100.0,98.88,52.11,9.84,0.47,4.57,0.53,10.12,7.07,0.45,0.31,1.77,19.0,1.12,0.93,0.41,0.51,0.18,0.14,0.04,100.0,19.98,5.89,9.67,0.15,33.27,21.41,4.68,0.76,37.05,23.83,7.67,2.11,10.65,20.39,100.0,91.99,8.01,2.91,0.8,0.17,0.24,0.8,3.12,100.0,27.74,72.26
Hartford,100.0,7.74,8.65,9.05,8.32,7.85,8.23,7.53,6.89,6.39,6.06,6.13,4.7,4.79,2.88,1.94,1.14,0.85,0.85,72.74,69.34,64.46,10.45,7.65,100.0,7.96,9.37,9.77,8.72,7.68,8.39,7.2,6.87,6.71,5.38,5.97,4.78,4.29,2.47,2.04,1.06,0.76,0.6,71.0,67.5,62.01,9.31,6.9,100.0,7.54,7.98,8.36,7.95,7.98,8.08,7.85,6.92,6.09,6.71,6.27,4.62,5.27,3.28,1.88,1.21,0.93,1.08,74.42,71.12,66.8,11.54,8.36,100.0,83.74,23.83,11.72,2.53,3.97,0.01,41.68,16.25,118.55,37.55,15.93,4.56,4.45,0.13,55.94,100.0,67.05,32.93,100.0,67.05,8.81,1.75,1.92,0.08,0.0,40.79,13.71,32.93,15.0,9.98,0.62,3.89,0.01,0.9,2.54,100.0,99.85,32.3,10.9,0.09,2.66,0.11,39.48,26.89,2.79,2.55,7.36,4.17,0.15,0.0,0.0,0.0,0.15,0.04,0.09,100.0,34.28,18.43,8.7,4.76,20.65,11.78,1.56,2.13,36.37,10.71,3.74,13.71,44.29,18.68,100.0,92.92,7.08,3.81,0.27,0.31,0.12,0.27,2.31,100.0,38.41,61.59
Hope,100.0,4.63,4.12,3.75,3.1,3.58,8.9,11.0,9.35,7.05,6.37,5.94,6.88,6.03,5.32,5.74,3.04,2.02,3.18,86.87,85.33,83.63,22.77,19.3,100.0,5.38,4.41,3.81,3.45,3.14,8.4,11.31,8.77,7.32,7.07,6.11,7.5,6.35,4.9,5.62,2.9,1.75,1.81,85.73,83.86,82.35,20.74,17.05,100.0,3.97,3.86,3.7,2.79,4.02,9.33,10.73,9.87,6.81,5.79,5.79,6.33,5.74,5.69,5.85,3.11,2.31,4.35,87.88,86.64,84.76,24.57,21.3,100.0,90.56,75.95,5.29,0.11,5.23,0.11,3.84,9.44,110.57,83.68,8.87,1.59,7.11,0.26,9.07,100.0,7.11,92.89,100.0,7.11,1.68,0.34,0.0,0.06,0.0,2.22,2.81,92.89,74.28,4.95,0.11,5.17,0.11,1.62,6.62,100.0,94.6,46.11,17.79,1.02,3.89,0.71,18.19,13.93,0.45,0.37,2.16,4.24,5.4,4.75,2.42,2.33,0.65,0.48,0.17,100.0,40.95,15.19,10.01,1.05,17.97,13.34,3.09,0.8,31.07,22.42,8.65,2.35,20.26,26.0,100.0,95.14,4.86,1.81,0.35,0.35,0.47,0.29,1.58,100.0,54.71,45.29
