ward_2022,DP1_0001C,DP1_0002C,DP1_0003C,DP1_0004C,DP1_0005C,DP1_0006C,DP1_0007C,DP1_0008C,DP1_0009C,DP1_0010C,DP1_0011C,DP1_0012C,DP1_0013C,DP1_0014C,DP1_0015C,DP1_0016C,DP1_0017C,DP1_0018C,DP1_0019C,DP1_0020C,DP1_0021C,DP1_0022C,DP1_0023C,DP1_0024C,DP1_0025C,DP1_0026C,DP1_0027C,DP1_0028C,DP1_0029C,DP1_0030C,DP1_0031C,DP1_0032C,DP1_0033C,DP1_0034C,DP1_0035C,DP1_0036C,DP1_0037C,DP1_0038C,DP1_0039C,DP1_0040C,DP1_0041C,DP1_0042C,DP1_0043C,DP1_0044C,DP1_0045C,DP1_0046C,DP1_0047C,DP1_0048C,DP1_0049C,DP1_0050C,DP1_0051C,DP1_0052C,DP1_0053C,DP1_0054C,DP1_0055C,DP1_0056C,DP1_0057C,DP1_0058C,DP1_0059C,DP1_0060C,DP1_0061C,DP1_0062C,DP1_0063C,DP1_0064C,DP1_0065C,DP1_0066C,DP1_0067C,DP1_0068C,DP1_0069C,DP1_0070C,DP1_0071C,DP1_0072C,DP1_0076C,DP1_0077C,DP1_0078C,DP1_0079C,DP1_0080C,DP1_0081C,DP1_0082C,DP1_0083C,DP1_0084C,DP1_0085C,DP1_0086C,DP1_0087C,DP1_0088C,DP1_0089C,DP1_0090C,DP1_0091C,DP1_0092C,DP1_0093C,DP1_0094C,DP1_0095C,DP1_0096C,DP1_0097C,DP1_0098C,DP1_0099C,DP1_0100C,DP1_0101C,DP1_0102C,DP1_0103C,DP1_0104C,DP1_0105C,DP1_0106C,DP1_0107C,DP1_0108C,DP1_0109C,DP1_0110C,DP1_0111C,DP1_0112C,DP1_0113C,DP1_0114C,DP1_0115C,DP1_0116C,DP1_0117C,DP1_0118C,DP1_0119C,DP1_0120C,DP1_0121C,DP1_0122C,DP1_0123C,DP1_0124C,DP1_0125C,DP1_0126C,DP1_0127C,DP1_0128C,DP1_0129C,DP1_0130C,DP1_0131C,DP1_0132C,DP1_0133C,DP1_0134C,DP1_0135C,DP1_0136C,DP1_0137C,DP1_0138C,DP1_0139C,DP1_0140C,DP1_0141C,DP1_0142C,DP1_0143C,DP1_0144C,DP1_0145C,DP1_0146C,DP1_0147C,DP1_0148C,DP1_0149C,DP1_0150C,DP1_0151C,DP1_0152C,DP1_0153C,DP1_0154C,DP1_0155C,DP1_0156C,DP1_0157C,DP1_0158C,DP1_0159C,DP1_0160C
1,13361.0,298.0,224.0,211.0,1454.0,3311.0,1856.0,1224.0,739.0,423.0,371.0,453.0,541.0,556.0,508.0,425.0,312.0,201.0,256.0,12577.0,12107.0,10469.0,2020.0,1702.0,6407.0,148.0,113.0,88.0,543.0,1513.0,913.0,672.0,403.0,232.0,189.0,232.0,279.0,292.0,236.0,208.0,149.0,83.0,113.0,6031.0,5862.0,5209.0,961.0,789.0,6954.0,149.0,111.0,122.0,911.0,1798.0,943.0,552.0,336.0,190.0,182.0,221.0,262.0,264.0,272.0,218.0,163.0,117.0,143.0,6545.0,6245.0,5261.0,1059.0,913.0,13361.0,12101.0,8381.0,854.0,80.0,2091.0,8.0,687.0,1260.0,14715.0,9435.0,1198.0,257.0,2401.0,29.0,1395.0,13361.0,1587.0,11774.0,13361.0,1587.0,386.0,70.0,26.0,6.0,0.0,570.0,528.0,11774.0,7995.0,784.0,53.0,2085.0,8.0,117.0,732.0,13361.0,11121.0,6237.0,1178.0,59.0,448.0,63.0,1156.0,787.0,55.0,42.0,225.0,1699.0,2239.0,78.0,35.0,43.0,2161.0,945.0,1216.0,6244.0,1248.0,324.0,505.0,16.0,2107.0,1532.0,306.0,43.0,2385.0,1664.0,474.0,118.0,594.0,1313.0,7230.0,6477.0,753.0,380.0,121.0,11.0,15.0,55.0,170.0,0.17,6.85,6477.0,1432.0,5046.0
2,13362.0,355.0,282.0,320.0,2147.0,3018.0,896.0,712.0,653.0,439.0,472.0,626.0,580.0,670.0,635.0,527.0,379.0,285.0,365.0,12321.0,12149.0,9099.0,2605.0,2191.0,6835.0,186.0,133.0,162.0,1010.0,1375.0,423.0,409.0,376.0,227.0,253.0,371.0,321.0,387.0,391.0,293.0,216.0,143.0,161.0,6317.0,6222.0,4828.0,1454.0,1204.0,6527.0,169.0,150.0,158.0,1137.0,1643.0,473.0,304.0,277.0,212.0,218.0,255.0,259.0,283.0,244.0,234.0,163.0,142.0,204.0,6004.0,5927.0,4271.0,1150.0,987.0,13362.0,12358.0,9452.0,616.0,33.0,1780.0,9.0,469.0,1004.0,14446.0,10354.0,891.0,135.0,2125.0,22.0,920.0,13362.0,1092.0,12271.0,13362.0,1092.0,383.0,19.0,12.0,7.0,0.0,329.0,342.0,12271.0,9070.0,596.0,21.0,1773.0,8.0,139.0,662.0,13362.0,8607.0,4099.0,1554.0,51.0,200.0,36.0,1660.0,1138.0,44.0,37.0,145.0,818.0,4755.0,75.0,26.0,48.0,4680.0,2712.0,1968.0,4084.0,1603.0,583.0,233.0,16.0,910.0,653.0,189.0,30.0,1338.0,948.0,415.0,80.0,756.0,1273.0,4573.0,4213.0,360.0,133.0,47.0,14.0,24.0,41.0,102.0,0.33,6.27,4213.0,2273.0,1940.0
3,13357.0,601.0,456.0,448.0,948.0,1348.0,1410.0,1383.0,1021.0,719.0,690.0,708.0,730.0,696.0,649.0,616.0,366.0,252.0,316.0,11754.0,11545.0,10520.0,2606.0,2199.0,6403.0,319.0,226.0,221.0,439.0,584.0,663.0,677.0,521.0,344.0,343.0,346.0,387.0,340.0,318.0,299.0,180.0,95.0,101.0,5583.0,5477.0,5023.0,1205.0,994.0,6954.0,281.0,230.0,227.0,510.0,763.0,747.0,706.0,501.0,375.0,348.0,362.0,344.0,356.0,331.0,316.0,187.0,157.0,215.0,6171.0,6068.0,5498.0,1402.0,1206.0,13357.0,11922.0,8991.0,1105.0,61.0,933.0,11.0,820.0,1435.0,14970.0,10018.0,1746.0,313.0,1177.0,34.0,1681.0,13357.0,1429.0,11928.0,13357.0,1429.0,298.0,61.0,18.0,14.0,3.0,552.0,483.0,11928.0,8693.0,1044.0,44.0,919.0,8.0,268.0,952.0,13357.0,11768.0,5797.0,1807.0,100.0,503.0,76.0,2318.0,1643.0,120.0,86.0,294.0,754.0,1589.0,288.0,141.0,148.0,1301.0,712.0,588.0,5798.0,1911.0,679.0,572.0,62.0,1310.0,967.0,243.0,51.0,2005.0,1346.0,495.0,217.0,1099.0,1436.0,6115.0,5666.0,449.0,155.0,30.0,24.0,35.0,25.0,179.0,0.42,4.59,5666.0,2472.0,3195.0
4,12238.0,777.0,849.0,914.0,918.0,896.0,1051.0,1001.0,845.0,798.0,707.0,721.0,702.0,631.0,520.0,362.0,201.0,154.0,190.0,9499.0,9140.0,8597.0,1774.0,1427.0,5807.0,376.0,443.0,464.0,458.0,413.0,509.0,452.0,395.0,349.0,332.0,318.0,356.0,311.0,256.0,162.0,78.0,63.0,70.0,4420.0,4258.0,3977.0,795.0,630.0,6431.0,401.0,406.0,450.0,460.0,483.0,542.0,549.0,450.0,449.0,375.0,403.0,346.0,321.0,264.0,200.0,123.0,90.0,119.0,5080.0,4882.0,4620.0,979.0,797.0,12238.0,10375.0,4158.0,2572.0,165.0,342.0,13.0,3125.0,1862.0,14299.0,5354.0,3498.0,423.0,408.0,40.0,4575.0,12238.0,5146.0,7092.0,12238.0,5146.0,778.0,240.0,89.0,7.0,10.0,2843.0,1178.0,7092.0,3380.0,2332.0,76.0,335.0,3.0,282.0,684.0,12238.0,12039.0,4721.0,1289.0,31.0,416.0,24.0,4020.0,2726.0,262.0,211.0,742.0,534.0,199.0,125.0,64.0,61.0,74.0,35.0,39.0,4724.0,1321.0,601.0,456.0,149.0,1099.0,708.0,213.0,96.0,1848.0,738.0,307.0,622.0,1635.0,1082.0,5145.0,4750.0,395.0,205.0,21.0,27.0,5.0,10.0,128.0,0.56,6.39,4750.0,1767.0,2983.0
5,12115.0,515.0,592.0,682.0,1337.0,2033.0,832.0,833.0,715.0,669.0,621.0,606.0,621.0,598.0,478.0,342.0,246.0,145.0,250.0,10195.0,9931.0,8297.0,1810.0,1461.0,5708.0,254.0,299.0,362.0,602.0,955.0,402.0,400.0,339.0,323.0,308.0,289.0,293.0,268.0,223.0,150.0,103.0,64.0,74.0,4731.0,4586.0,3883.0,765.0,614.0,6407.0,261.0,293.0,320.0,735.0,1078.0,430.0,433.0,375.0,346.0,314.0,316.0,328.0,330.0,255.0,192.0,143.0,82.0,176.0,5464.0,5345.0,4414.0,1045.0,847.0,12115.0,10604.0,6183.0,1643.0,163.0,333.0,2.0,2281.0,1512.0,13796.0,7279.0,2244.0,412.0,438.0,25.0,3399.0,12115.0,4106.0,8009.0,12115.0,4106.0,690.0,179.0,114.0,5.0,1.0,2171.0,946.0,8009.0,5493.0,1463.0,48.0,327.0,1.0,110.0,566.0,12115.0,10479.0,4054.0,1323.0,54.0,289.0,30.0,3043.0,1931.0,187.0,140.0,658.0,840.0,1636.0,119.0,48.0,71.0,1518.0,625.0,892.0,4047.0,1369.0,566.0,321.0,104.0,911.0,527.0,157.0,67.0,1447.0,647.0,308.0,323.0,1198.0,1049.0,4491.0,4204.0,287.0,130.0,19.0,26.0,20.0,18.0,73.0,0.61,6.5,4204.0,2353.0,1851.0
6,12691.0,848.0,891.0,974.0,1203.0,1232.0,1058.0,1035.0,940.0,797.0,713.0,780.0,660.0,579.0,404.0,253.0,140.0,91.0,93.0,9790.0,9403.0,8428.0,1308.0,980.0,6074.0,421.0,464.0,525.0,564.0,555.0,500.0,483.0,434.0,370.0,344.0,382.0,307.0,260.0,200.0,129.0,63.0,35.0,39.0,4585.0,4379.0,3948.0,603.0,466.0,6617.0,427.0,427.0,449.0,638.0,677.0,558.0,553.0,506.0,426.0,369.0,398.0,354.0,320.0,204.0,124.0,77.0,56.0,54.0,5205.0,5024.0,4479.0,705.0,514.0,12691.0,10736.0,3220.0,2059.0,319.0,417.0,6.0,4716.0,1955.0,14818.0,4602.0,2754.0,641.0,490.0,43.0,6289.0,12691.0,7470.0,5221.0,12691.0,7470.0,864.0,264.0,250.0,15.0,4.0,4594.0,1479.0,5221.0,2356.0,1795.0,68.0,402.0,1.0,122.0,477.0,12691.0,12081.0,4232.0,1381.0,37.0,340.0,24.0,4200.0,2837.0,270.0,220.0,1060.0,536.0,611.0,0.0,0.0,0.0,611.0,202.0,409.0,4229.0,1421.0,718.0,354.0,161.0,966.0,559.0,140.0,118.0,1488.0,521.0,159.0,517.0,1706.0,816.0,4646.0,4381.0,265.0,134.0,7.0,23.0,6.0,4.0,90.0,0.52,4.59,4381.0,1600.0,2781.0
7,13178.0,998.0,1107.0,1179.0,1061.0,1050.0,1083.0,1004.0,1003.0,888.0,803.0,808.0,621.0,604.0,370.0,256.0,141.0,90.0,111.0,9665.0,9220.0,8627.0,1313.0,968.0,6579.0,504.0,593.0,631.0,567.0,518.0,516.0,482.0,491.0,450.0,385.0,409.0,314.0,279.0,161.0,131.0,65.0,35.0,48.0,4733.0,4497.0,4172.0,598.0,440.0,6599.0,494.0,515.0,547.0,495.0,532.0,568.0,522.0,511.0,439.0,417.0,399.0,307.0,325.0,209.0,125.0,76.0,54.0,62.0,4932.0,4722.0,4455.0,715.0,528.0,13178.0,11024.0,2958.0,1378.0,365.0,462.0,7.0,5854.0,2155.0,15565.0,4713.0,1937.0,604.0,524.0,34.0,7752.0,13178.0,9212.0,3966.0,13178.0,9212.0,1115.0,211.0,290.0,17.0,4.0,5740.0,1836.0,3966.0,1844.0,1167.0,75.0,445.0,3.0,114.0,318.0,13178.0,13140.0,4272.0,1539.0,15.0,366.0,13.0,5009.0,3460.0,321.0,286.0,1008.0,597.0,38.0,0.0,0.0,0.0,38.0,25.0,14.0,4263.0,1558.0,861.0,383.0,209.0,915.0,504.0,80.0,93.0,1407.0,433.0,160.0,537.0,1917.0,774.0,4604.0,4249.0,355.0,155.0,21.0,25.0,8.0,10.0,136.0,0.58,5.47,4249.0,1590.0,2660.0
8,12781.0,909.0,949.0,982.0,1070.0,953.0,1015.0,970.0,940.0,775.0,732.0,725.0,742.0,704.0,497.0,355.0,221.0,146.0,95.0,9745.0,9290.0,8701.0,1709.0,1315.0,6261.0,481.0,498.0,501.0,533.0,513.0,480.0,495.0,445.0,367.0,363.0,346.0,339.0,323.0,218.0,170.0,98.0,56.0,34.0,4688.0,4469.0,4164.0,756.0,577.0,6520.0,428.0,452.0,481.0,536.0,440.0,535.0,475.0,494.0,408.0,369.0,378.0,404.0,381.0,279.0,185.0,123.0,90.0,61.0,5057.0,4821.0,4537.0,953.0,738.0,12781.0,10699.0,2055.0,1789.0,264.0,1227.0,7.0,5358.0,2082.0,15027.0,3432.0,2614.0,448.0,1312.0,42.0,7179.0,12781.0,8142.0,4639.0,12781.0,8142.0,652.0,274.0,202.0,26.0,5.0,5223.0,1759.0,4639.0,1403.0,1515.0,62.0,1201.0,1.0,135.0,323.0,12781.0,12677.0,4264.0,1407.0,28.0,319.0,14.0,4529.0,2936.0,411.0,344.0,1071.0,633.0,104.0,19.0,8.0,11.0,86.0,69.0,17.0,4266.0,1424.0,696.0,340.0,154.0,934.0,489.0,137.0,137.0,1568.0,547.0,227.0,521.0,1766.0,1022.0,4553.0,4281.0,272.0,119.0,7.0,15.0,11.0,1.0,118.0,0.35,3.99,4281.0,1425.0,2856.0
9,12178.0,756.0,877.0,954.0,1059.0,944.0,916.0,950.0,835.0,752.0,692.0,763.0,672.0,635.0,529.0,356.0,203.0,136.0,149.0,9397.0,8932.0,8369.0,1743.0,1373.0,5898.0,389.0,470.0,476.0,543.0,476.0,449.0,436.0,419.0,320.0,318.0,357.0,331.0,318.0,238.0,161.0,98.0,50.0,48.0,4472.0,4219.0,3949.0,781.0,595.0,6280.0,367.0,408.0,478.0,516.0,468.0,467.0,514.0,415.0,432.0,373.0,406.0,342.0,317.0,291.0,195.0,105.0,86.0,100.0,4925.0,4713.0,4420.0,962.0,778.0,12178.0,9903.0,2051.0,2038.0,170.0,604.0,26.0,5013.0,2275.0,14647.0,3516.0,3034.0,362.0,658.0,78.0,6998.0,12178.0,8206.0,3972.0,12178.0,8206.0,772.0,444.0,97.0,15.0,24.0,4902.0,1952.0,3972.0,1279.0,1595.0,73.0,589.0,2.0,111.0,323.0,12178.0,11911.0,4208.0,1249.0,17.0,289.0,26.0,4233.0,2703.0,346.0,280.0,964.0,580.0,267.0,32.0,14.0,19.0,234.0,170.0,64.0,4186.0,1249.0,620.0,315.0,139.0,926.0,557.0,149.0,105.0,1696.0,618.0,259.0,563.0,1645.0,1020.0,4299.0,4039.0,260.0,123.0,13.0,6.0,9.0,10.0,99.0,0.15,3.88,4039.0,1002.0,3037.0
10,12273.0,684.0,799.0,857.0,1465.0,1207.0,919.0,900.0,781.0,712.0,664.0,674.0,679.0,633.0,481.0,331.0,220.0,157.0,109.0,9748.0,9358.0,8141.0,1667.0,1298.0,5747.0,348.0,406.0,434.0,641.0,586.0,460.0,440.0,374.0,316.0,301.0,306.0,303.0,286.0,242.0,138.0,85.0,54.0,28.0,4463.0,4255.0,3764.0,707.0,546.0,6526.0,336.0,392.0,424.0,824.0,621.0,459.0,460.0,408.0,396.0,364.0,368.0,377.0,346.0,240.0,193.0,135.0,103.0,81.0,5285.0,5103.0,4378.0,959.0,751.0,12273.0,10010.0,2834.0,2214.0,196.0,478.0,6.0,4282.0,2263.0,14734.0,4208.0,3316.0,448.0,530.0,48.0,6185.0,12273.0,7049.0,5224.0,12273.0,7049.0,701.0,375.0,97.0,10.0,3.0,4110.0,1753.0,5224.0,2133.0,1839.0,98.0,468.0,3.0,172.0,511.0,12273.0,11625.0,4025.0,1288.0,20.0,305.0,15.0,3979.0,2470.0,397.0,274.0,905.0,690.0,648.0,12.0,8.0,4.0,636.0,213.0,423.0,4017.0,1317.0,595.0,328.0,153.0,817.0,414.0,99.0,111.0,1556.0,540.0,239.0,462.0,1556.0,993.0,4282.0,4043.0,238.0,89.0,14.0,16.0,10.0,5.0,104.0,0.39,3.43,4043.0,1555.0,2488.0
